id@title@content@regular price@height-product@load@rigidity-product@set-of-springs@size-product@image@categories
92@SCHIUMA  чехол Eco@"<div id=""description"" class=""box js-box"">  <p>Для того, чтобы изменить свойства своего матраса, придать ему дополнительную жёсткость или сделать его более мягким, идеально подойдут различные типы наматрасников. Применение в качестве наполнителей материалов различных типов позволяет подобрать максимально комфортную степень жёсткости.</p>  <p>Наматрасник &nbsp;SCHIUMA &nbsp;чехол Eco идеально подойдёт тем, кто предпочитает среднюю жёсткость своего спального места.</p>          </div>    <table cellspacing=""0"" cellpadding=""0"">  <tbody>  <tr>  <td align=""left"" height=""20""><hr />  <p style=""text-align: center;""><strong><span style=""font-size: large;"">Наполнители:</span></strong></p>  </td>  </tr>  <tr>  <td align=""left"" valign=""top"">  <table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""0"">  <tbody>  <tr valign=""top"">  <td align=""left"" width=""250"">  <p><img src=""http://www.lineaflex.ru/files/project_2016/galery/ergoflex.png"" alt=""ergoflex"" /></p>  </td>  <td align=""left"">  <p><span>В качестве наполнителя используется слой (3 см)&nbsp;высокоэластичной недеформируемой пены ERGOFLEX, что создает хороший уровень комфорта. Равномерное распределение ячеек по всему объёму материала, в сочетании с достаточно высокой плотностью материала, определяют отличные эксплуатационные свойства этой высокотехнологичной пены.</span></p>  </td>  </tr>  <tr valign=""top"">  <td colspan=""2"" align=""left"" width=""250""><hr />  <p style=""text-align: center;""><span style=""font-size: large;""><strong>Чехол:</strong></span></p>  </td>  </tr>  <tr valign=""top"">  <td style=""text-align: left;"" align=""left"" width=""250""><img src=""http://www.lineaflex.ru/files/project_2016/Eco_chehol.jpg"" alt=""Eco_chehol"" /></td>  <td style=""text-align: left;"" align=""left"" width=""250"">Чехол Eco выполнен из синтетического жаккарда, плотностью 220 гр/м2, состав 50% полиэстер / 50% пропилен.</td>  </tr>  </tbody>  </table>  </td>  </tr>  </tbody>  </table>            <style type=""text/css""> table, tr, td, th { border: none !important; } </style>"@@3,5-4@средняя@@беспружинный@@http://www.lineaflex.ru/files/project_2016/good/1476468020_1_mini5.jpg@catalog>mattress-covers-pillow>mattress-case
130@COCCO чехол Ambiente@"<div id=""description"" class=""box js-box"">  <p>Для того, чтобы изменить свойства своего матраса, придать ему дополнительную жёсткость или сделать его более мягким, идеально подойдут различные типы наматрасников. Применение в качестве наполнителей материалов различных типов позволяет подобрать максимально комфортную степень жёсткости.</p>  <p>Наматрасник &nbsp;COCCO чехол Ambiente&nbsp;идеально подойдёт тем, кто предпочитает жёсткое спальное место.</p>          </div>    <table cellspacing=""0"" cellpadding=""0"">  <tbody>  <tr>  <td align=""left"" height=""20""><hr />  <p style=""text-align: center;""><strong><span style=""font-size: large;"">Наполнители:</span></strong></p>  </td>  </tr>  <tr>  <td align=""left"" valign=""top"">  <table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""0"">  <tbody>  <tr valign=""top"">  <td align=""left"" width=""250"">  <p><img src=""http://www.lineaflex.ru/files/project_2016/galery/kokos_s.jpg"" alt=""pruzh"" width=""124"" height=""124"" /></p>  </td>  <td align=""left"">  <p>Летексированная кокосовая койра представляет собой пропитанные латексом (латексированные) термоскреплённые плиты. Высокое содержание латекса (50%) обеспечивает материалу упругость и устойчивость к нагрузкам. Экологичность, природная эластичность и хорошая воздухопроницаемость плит из кокосового волокна делают поверхность изделия жёсткой и упругой.</p>  <p>Высота слоя - 3 см.</p>  </td>  </tr>  <tr valign=""top"">  <td colspan=""2"" align=""left"" width=""250""><hr />  <p style=""text-align: center;""><span style=""font-size: large;""><strong>Чехол:</strong></span></p>  </td>  </tr>  <tr valign=""top"">  <td style=""text-align: left;"" align=""left"" width=""250"">&nbsp;<img src=""http://www.lineaflex.ru/files/project_2016/ZHakkardovie_tkani.jpg"" alt=""hlopok"" width=""124"" height=""124"" /></td>  <td style=""text-align: left;"" align=""left"" width=""250"">&nbsp;<strong>AMBIENTE -&nbsp;</strong><span>Хлопковый жаккард плотностью 420гр/м2 (76%хлопок/24%полиэстер). Пр- во Италия.</span></td>  </tr>  </tbody>  </table>  </td>  </tr>  </tbody>  </table>            <style type=""text/css""> table, tr, td, th { border: none !important; } </style>"@@4-4,5@жесткий@@беспружинный@@http://www.lineaflex.ru/files/project_2016/good/1381090443_1_mini5.jpg@catalog>mattress-covers-pillow>mattress-case
130@COCCO чехол Ambiente@@4975@@@@@70x185@@
130@COCCO чехол Ambiente@@4975@@@@@70x190@@
130@COCCO чехол Ambiente@@4975@@@@@70x195@@
130@COCCO чехол Ambiente@@4975@@@@@70x200@@
130@COCCO чехол Ambiente@@5685@@@@@80x185@@
130@COCCO чехол Ambiente@@5685@@@@@80x190@@
130@COCCO чехол Ambiente@@5685@@@@@80x195@@
130@COCCO чехол Ambiente@@5685@@@@@80x200@@
130@COCCO чехол Ambiente@@6396@@@@@90x185@@
130@COCCO чехол Ambiente@@6396@@@@@90x190@@
130@COCCO чехол Ambiente@@6396@@@@@90x195@@
130@COCCO чехол Ambiente@@6396@@@@@90x200@@
130@COCCO чехол Ambiente@@8528@@@@@120x185@@
130@COCCO чехол Ambiente@@8528@@@@@120x190@@
130@COCCO чехол Ambiente@@8528@@@@@120x195@@
130@COCCO чехол Ambiente@@8528@@@@@120x200@@
130@COCCO чехол Ambiente@@9949@@@@@140x185@@
130@COCCO чехол Ambiente@@9949@@@@@140x190@@
130@COCCO чехол Ambiente@@9949@@@@@140x195@@
130@COCCO чехол Ambiente@@9949@@@@@140x200@@
130@COCCO чехол Ambiente@@11371@@@@@160x185@@
130@COCCO чехол Ambiente@@11371@@@@@160x190@@
130@COCCO чехол Ambiente@@11371@@@@@160x195@@
130@COCCO чехол Ambiente@@11371@@@@@160x200@@
130@COCCO чехол Ambiente@@12792@@@@@180x185@@
130@COCCO чехол Ambiente@@12792@@@@@180x190@@
130@COCCO чехол Ambiente@@12792@@@@@180x195@@
130@COCCO чехол Ambiente@@12792@@@@@180x200@@
130@COCCO чехол Ambiente@@14214@@@@@185x200@@
130@COCCO чехол Ambiente@@14214@@@@@190x200@@
130@COCCO чехол Ambiente@@14214@@@@@195x200@@
130@COCCO чехол Ambiente@@14214@@@@@200x200@@
