id#title#content#regular price#height-product#load#rigidity-product#set-of-springs#size-product#image#categories
thermo_memory#THERMO MEMORY (ТЕРМО МЕМОРИ)#"<div id=""description"" class=""box js-box"">  <p style=""text-align: justify;""><strong>+ Чехол <a href=""/chehli"">TНERMO SYSTEM </a></strong></p>  <p style=""text-align: justify;"">Этот матрас позволит Вам ощутить максимальный комфорт при самых высоких санитарно-гигиенических свойствах.</p>  <p style=""text-align: justify;"">Матрас с 7-ю зонами поддержки. Одной из составляющих является VISCO THERMO, дарящий необыкновенную свежесть , а другая- пенополиуретан с включением в структуру серебра, гарантирующего&nbsp; 100% антиаллегенность матрасу, благодаря природным свойствам серебра.</p>  <p style=""text-align: justify;"">Уникальность этого матраса в использовании VISCO THERMO - материала способного аккумулировать тепло и отдавать его в период понижения температуры.</p>  <p style=""text-align: justify;""><strong>Чехол матраса Вы можете выбрать из гаммы <a href=""/chehli"">чехлов</a></strong><a href=""/chehli"">&nbsp; </a></p>  <p>Полежать на матрасах из эксклюзивной коллекции <strong>BIOgreen</strong> и <strong>BENESSERE</strong> производства Италия можно в нашем фирменном магазине Lineaflex по адресу:</p>  <p>121471, г.Москва, ул.Рябиновая, 41 к.1 &laquo;MADEX экспо дизайн центр&raquo;, тел. +7(495)6691182; +7(919)9632172. <br /><strong></strong></p>          </div><table border=""0"">  <tbody>  <tr valign=""top"">  <td><img src=""http://www.lineaflex.ru/files/project_2016/DSCF2017.jpg"" alt="""" /></td>  <td style=""text-align: justify;"">  <p>Для внутренних слоев выбраны пенополиуретаны, гарантирующие анатомическую поддержку.</p>  </td>  </tr>  <tr valign=""top"">  <td>&nbsp;<img src=""http://www.lineaflex.ru/files/project_2016/DSCF2027.jpg"" alt="""" /></td>  <td style=""text-align: justify;"">  <p>Dryefeel<sup>&reg;</sup> благодаря свой волнообразной форме, гарантирует высочайший уровень воздухообмена, исключая появление плесени и других вредных микроорганизмов.</p>  <p>Микс полиуретанов,&nbsp; имеющих натуральную основу - экстракты масел сои, лаванды, ромашки, кипариса, шалфея.</p>  </td>  </tr>  <tr valign=""top"">  <td colspan=""2"">  <p><img src=""http://www.lineaflex.ru/files/project_2016/ls-termo.jpg"" alt="""" /></p>  </td>  </tr>  </tbody>  </table>"##30#140 кг#средняя#беспружинный##http://www.lineaflex.ru/files/project_2016/good_gallery/1365097117_0_mini2.jpg|http://www.lineaflex.ru/files/project_2016/good_gallery/1365097124_7_mini2.jpg|http://www.lineaflex.ru/files/project_2016/good_gallery/1365097131_0_mini2.jpg|http://www.lineaflex.ru/files/project_2016/good_gallery/1365097139_3_mini2.jpg|http://www.lineaflex.ru/files/project_2016/good_gallery/1473516680_6_mini2.jpg|http://www.lineaflex.ru/files/project_2016/good_gallery/1473516767_6_mini2.jpg#catalog>mattresses-italy>linea-biogreen
memory_fresh#MEMORY FRESH (МЕМОРИ ФРЕШ)#"<div id=""description"" class=""box js-box"">  <p style=""text-align: justify;""><strong>+ Чехол <a href=""/chehli"">ECOTENSEL</a></strong> &nbsp;&nbsp;</p>  <p style=""text-align: justify;""><strong>MEMORY</strong><strong> </strong><strong>FRESH</strong><strong> </strong>&ndash; первый матрас, разработанный для линии BIOGREEN. Это матрас&nbsp; создан с использованием новейших&nbsp; полимерных материалов на водной основе, имеющих&nbsp; свойства натуральных материалов.</p>  <p style=""text-align: justify;"">&nbsp;</p>  <p style=""text-align: justify;"">Меmory Naturalis и Limpha Vegetale со вставками из BIOGEL- составляющие несущей системы этого матраса. Непревзойденной характеристикой этого матраса является уникальная свежесть.</p>  <p style=""text-align: justify;"">Матрас с 7-ю зонами поддержки. Состоит из 2 слоев MEMORY NATURALIS разной жесткости.</p>  <p style=""text-align: justify;"">MEMORY NATURALIS великолепно адаптируется под контуры тела человека, полностью исключая отрицательное давление со стороны матраса. Вставки из BIOGEL расположены в зонах, испытывающих максимальную нагрузку.</p>  <p style=""text-align: justify;"">Меmory Naturalis - термочувствительный, автомоделируемый материал, способный до миллиметра повторять контуры тела человека, способствуя хорошей циркуляции крови. Limpha Vegetale &ndash; пенополиуретан на водной основе. Более жесткий материал, имеющий высочающую воздухопроводимость.</p>  <p style=""text-align: justify;""><strong>Чехол матраса Вы можете выбрать из <a href=""/chehli"">гаммы чехлов</a></strong></p>  <p>Полежать на матрасах из эксклюзивной коллекции <strong>BIOgreen</strong> и <strong>BENESSERE</strong> производства Италия можно в нашем фирменном магазине Lineaflex по адресу:</p>  <p>121471, г.Москва, ул.Рябиновая, 41 к.1 &laquo;MADEX экспо дизайн центр&raquo;, тел. +7(495)6691182; +7(919)9632172.</p>          </div><table style=""width: 100%;"" border=""0"">  <tbody>  <tr valign=""top"">  <td><img src=""http://www.lineaflex.ru/files/project_2016/limfa.jpg"" alt="""" /></td>  <td>  <p>Слой Limpha Vegetale дополнен вставками из BIOGEL- уникальным инновационным материалом, создающим идеальный микроклимат.</p>  </td>  </tr>  <tr valign=""top"">  <td><img src=""http://www.lineaflex.ru/files/project_2016/778Untitled-10.jpg"" alt="""" /></td>  <td>  <p>Меmory Naturalis обладает уникальными свойствами: термочувствительность и автомоделируемость. Использование этого материала позволяет создать матрас&nbsp; высочайшего уровня комфорта.</p>  </td>  </tr>  <tr>  <td colspan=""2"">  <p><img src=""http://www.lineaflex.ru/files/project_2016/ls-mf.jpg"" alt="""" /></p>  </td>  </tr>  </tbody>  </table>"##30#140 кг#средняя#беспружинный##http://www.lineaflex.ru/files/project_2016/good_gallery/1365097655_7_mini2.jpg|http://www.lineaflex.ru/files/project_2016/good_gallery/1365097661_1_mini2.jpg|http://www.lineaflex.ru/files/project_2016/good_gallery/1473517438_3_mini2.jpg|http://www.lineaflex.ru/files/project_2016/good_gallery/1473516447_1_mini2.jpg#catalog>mattresses-italy>linea-biogreen
memory_fresh#MEMORY FRESH (МЕМОРИ ФРЕШ)##0#####80x200##
memory_fresh#MEMORY FRESH (МЕМОРИ ФРЕШ)##0#####85x200##
memory_fresh#MEMORY FRESH (МЕМОРИ ФРЕШ)##0#####90x200##
memory_fresh#MEMORY FRESH (МЕМОРИ ФРЕШ)##0#####100x200##
memory_fresh#MEMORY FRESH (МЕМОРИ ФРЕШ)##0#####110x200##
memory_fresh#MEMORY FRESH (МЕМОРИ ФРЕШ)##0#####120x200##
memory_fresh#MEMORY FRESH (МЕМОРИ ФРЕШ)##0#####130x200##
memory_fresh#MEMORY FRESH (МЕМОРИ ФРЕШ)##0#####140x200##
memory_fresh#MEMORY FRESH (МЕМОРИ ФРЕШ)##0#####150x200##
memory_fresh#MEMORY FRESH (МЕМОРИ ФРЕШ)##0#####160x200##
memory_fresh#MEMORY FRESH (МЕМОРИ ФРЕШ)##0#####170x200##
memory_fresh#MEMORY FRESH (МЕМОРИ ФРЕШ)##0#####180x200##
memory_fresh#MEMORY FRESH (МЕМОРИ ФРЕШ)##0#####190x200##
memory_fresh#MEMORY FRESH (МЕМОРИ ФРЕШ)##0#####200x200##
