id@title@content@regular price@height-product@load@rigidity-product@set-of-springs@size-product@image@categories
55@Kitti (Китти)@<div id="description" class="box js-box">  <p>LINEAFLEX предлагает серию детских матрасов.<br /><br />Вся продукция сертифицирована и соответствует всем санитарно-гигиеническим стандартам качества.&nbsp;</p>  <p>Сочетание упругой койры и нежного эластичного латекса позволили создать жесткий, но комфортный матрас Kitti.<br />Рекомендуется детям до 50кг.</p>          </div><table border="0" cellspacing="0" cellpadding="0">  <tbody>  <tr valign="top">  <td align="left" width="280"><img src="http://www.lineaflex.ru/files/project_2016/kokos.png" alt="kokos" width="123" height="123" /><img src="http://www.lineaflex.ru/files/project_2016/latex.png" alt="latex" width="123" height="123" /></td>  <td align="left">Матрас с наполнением из латекса &ndash; отличный выбор для здорового сна. Латекс благодаря высокой эластичности, идеально адаптируется под контуры человеческого тела, обеспечивая хорошую циркуляцию крови. Слой кокоса усиливает ортопедические свойства матраса.</td>  </tr>  </tbody>  </table><table border="0" cellspacing="0" cellpadding="0">  <tbody>  <tr valign="top">  <td align="left" width="280"><img src="http://www.lineaflex.ru/files/project_2016/trik.png" alt="trik" width="123" height="123" /><img src="http://www.lineaflex.ru/files/project_2016/t2.png" alt="t2" width="123" height="123" /></td>  <td align="left">Чехол выполнен из ткани с антибактериальной и антистатической обработкой. Эта технология исключает развитие грибков и различных микроорганизмов, препятствует распространению неприятных запахов. Наполнение для стежки 100% терморегулируемый холлофайбер, не вызывающий аллергию. Сочетание всех комплектующих позволяет поддерживать постоянную температуру во время сна, а удивительная мягкость делает его приятным при контакте с кожей человека.</td>  </tr>  </tbody>  </table>@@11@50 кг@средняя@"беспружинный"@@http://www.lineaflex.ru/files/project_2016/good/1352292718_1_mini5.jpg@catalog>mattresses-children>linea-bambina
55@Kitti (Китти)@@7343@@@@@60x120@@
55@Kitti (Китти)@@9791@@@@@60x160@@
55@Kitti (Китти)@@11626@@@@@60x190@@
55@Kitti (Китти)@@11932@@@@@60x195@@
55@Kitti (Китти)@@12238@@@@@60x200@@
55@Kitti (Китти)@@8567@@@@@70x120@@
55@Kitti (Китти)@@9995@@@@@70x140@@
55@Kitti (Китти)@@11422@@@@@70x160@@
55@Kitti (Китти)@@13564@@@@@70x190@@
