id@title@content@regular price@height-product@load@rigidity-product@set-of-springs@size-product@image@categories
99@GEL FORM ORTOCERVICALE@"<div id=""description"" class=""box js-box"">  <p><strong>Подушка GEL FORM ORTOCERVICALE.</strong><br /> Модель с двойной волной.</p>  <p><strong>Размер подушки:</strong>&nbsp;42*67*10/11</p>  <p>Подушка состоит из двух инновационных материалов : вязкоэластичной натуральной пены с эффектом долгой памяти и биогель в области наибольшего давления. Биогель прочный ультрамягкий, ультрадолговечный с освежающим эффектом материал.</p>  <p></p>  <p></p>  <p></p>  <p></p>  <p></p>  <p>&nbsp;</p>  <p></p>  <p></p>  <p>&nbsp;</p>          </div>                <style type=""text/css""> table, tr, td, th { border: none !important; } </style>"@@10/11@@@@@http://www.lineaflex.ru/files/project_2016/good/1364843458_1_mini5.jpg@catalog>mattress-covers-pillow>pillows
99@GEL FORM ORTOCERVICALE@@6500@@@@@42x67@@
98@GEL FORM SAPONETTA@"<div id=""description"" class=""box js-box"">  <p><strong>Подушка GEL FORM SAPONETTA</strong>.<br />Классическая форма.</p>  <p><strong>Размер подушки:</strong>&nbsp;42*73*13</p>  <p></p>  <p></p>  <p>Подушка состоит из двух инновационных материалов : вязкоэластичной натуральной пены с эффектом долгой памяти и биогель в области наибольшего давления. Биогель прочный ультрамягкий, ультрадолговечный с освежающим эффектом материал.</p>  <p>&nbsp;</p>          </div>                <style type=""text/css""> table, tr, td, th { border: none !important; } </style>"@@13@@@@@http://www.lineaflex.ru/files/project_2016/good/1364844134_1_mini5.jpg@catalog>mattress-covers-pillow>pillows
98@GEL FORM SAPONETTA@@6500@@@@@42x73@@
103@LATTICE ORTOCERVICALE@"<div id=""description"" class=""box js-box"">  <p><strong>Подушка латексная ORTOCERVICALE.</strong><br />Модель с двойной волной.<br /><br /><strong>Размер подушки:</strong>&nbsp;38*66*8/10<br /><br />Подушка латексная<br /> Из 100%-ной натуральной пены, антиаллергенная, антибактериальная. В наволочке из 100%-ого хлопкового трикотажа. Предусмотретренные отверстия обеспечивают максимальную вентиляцию.</p>          </div>                <style type=""text/css""> table, tr, td, th { border: none !important; } </style>"@@8/10@@@@@http://www.lineaflex.ru/files/project_2016/good/1364844638_1_mini5.jpg@catalog>mattress-covers-pillow>pillows
103@LATTICE ORTOCERVICALE@@2950@@@@@38x66@@
102@LATTICE SAPONETTA@"<div id=""description"" class=""box js-box"">  <p><strong>Подушка латексная SAPONETTA.</strong><br />Классическая форма.<br /><br /><strong>Размер подушки:</strong> 43*73*14<br /><br />Подушка латексная<br /> Из 100%-ной натуральной пены, антиаллергенная, антибактериальная. В наволочке из 100%-ого хлопкового трикотажа. Предусмотретренные отверстия обеспечивают максимальную вентиляцию.</p>          </div>                <style type=""text/css""> table, tr, td, th { border: none !important; } </style>"@@14@@@@@http://www.lineaflex.ru/files/project_2016/good/1364844681_1_mini5.jpg@catalog>mattress-covers-pillow>pillows
102@LATTICE SAPONETTA@@2950@@@@@43x73@@
101@MIRROR ORTOCERVICALE@"<div id=""description"" class=""box js-box"">  <p><strong>Подушка MIRROR ORTOCERVICALE.</strong> <br />Модель с двойной волной.<br /><br /><strong>Размер подушки:</strong>&nbsp;42*67*10/11<br /><br />Подушка из вязкоэластичной пены с эффектом долгой памяти.<br /> Антиаллергенные, эластичные, термочувствительные в наволочке из 100%-ого хлопкового трикотажа.</p>          </div>                <style type=""text/css""> table, tr, td, th { border: none !important; } </style>"@@10/11@@@@@http://www.lineaflex.ru/files/project_2016/good/1364844956_1_mini5.jpg@catalog>mattress-covers-pillow>pillows
101@MIRROR ORTOCERVICALE@@3250@@@@@42x67@@
100@MIRROR SAPONETTA@"<div id=""description"" class=""box js-box"">  <p><strong>Подушка MIRROR SAPONETTA.</strong>&nbsp;<br />Классическая форма.</p>  <p><strong>Размер подушки:</strong> 42*73*13</p>  <p>Подушка из вязкоэластичной пены с эффектом долгой памяти.<br /> Антиаллергенные, эластичные, термочувствительные в наволочке из 100%-ого хлопкового трикотажа.</p>          </div>                <style type=""text/css""> table, tr, td, th { border: none !important; } </style>"@@13@@@@@http://www.lineaflex.ru/files/project_2016/good/1364844983_1_mini5.jpg@catalog>mattress-covers-pillow>pillows
100@MIRROR SAPONETTA@@3250@@@@@42x73@@
